Numero de onda	Acido Tereftalico.0.dpt
2347.49595	0.87314
2345.44215	0.87199
2343.38834	0.87071
2341.33454	0.87011
2339.28074	0.8699
2337.22694	0.87083
2335.17313	0.87242
2333.11933	0.87348
2331.06553	0.87424
2329.01173	0.87491
2326.95793	0.87503
2324.90412	0.87502
2322.85032	0.87577
2320.79652	0.87733
2318.74272	0.87894
2316.68891	0.88014
2314.63511	0.88113
2312.58131	0.88198
2310.52751	0.8825
2308.47371	0.88269
2306.4199	0.88291
2304.3661	0.88348
2302.3123	0.88423
2300.2585	0.88505
2298.20469	0.88589
2296.15089	0.88643
2294.09709	0.88696
2292.04329	0.88775
2289.98949	0.88829
2287.93568	0.88875
2285.88188	0.88957
2283.82808	0.89056
2281.77428	0.89166
2279.72047	0.89282
2277.66667	0.89358
2275.61287	0.89392
2273.55907	0.89449
2271.50527	0.89539
2269.45146	0.89617
2267.39766	0.89684
2265.34386	0.8972
2263.29006	0.89705
2261.23625	0.89695
2259.18245	0.89712
2257.12865	0.89768
2255.07485	0.89882
2253.02105	0.89985
2250.96724	0.90039
2248.91344	0.9008
2246.85964	0.90098
2244.80584	0.90108
2242.75203	0.90186
2240.69823	0.90303
2238.64443	0.90381
2236.59063	0.90423
2234.53683	0.9047
2232.48302	0.90485
2230.42922	0.90432
2228.37542	0.90428
2226.32162	0.90468
2224.26781	0.9041
2222.21401	0.90355
2220.16021	0.90391
2218.10641	0.9049
2216.0526	0.90665
2213.9988	0.90816
2211.945	0.90884
2209.8912	0.90948
2207.8374	0.90997
2205.78359	0.90954
2203.72979	0.9088
2201.67599	0.90883
2199.62219	0.90994
2197.56838	0.91163
2195.51458	0.91214
2193.46078	0.91062
2191.40698	0.9092
2189.35318	0.91012
2187.29937	0.91189
2185.24557	0.91244
2183.19177	0.91277
2181.13797	0.91381
2179.08416	0.91496
2177.03036	0.91621
2174.97656	0.91681
2172.92276	0.91642
2170.86896	0.91636
2168.81515	0.91643
2166.76135	0.91646
2164.70755	0.91647
2162.65375	0.91681
2160.59994	0.9201
2158.54614	0.92481
2156.49234	0.92497
2154.43854	0.92155
2152.38474	0.91929
2150.33093	0.91875
2148.27713	0.9187
2146.22333	0.91934
2144.16953	0.92013
2142.11572	0.92017
2140.06192	0.9202
2138.00812	0.92033
2135.95432	0.91979
2133.90052	0.91954
2131.84671	0.91997
2129.79291	0.91908
2127.73911	0.91666
2125.68531	0.91569
2123.6315	0.91697
2121.5777	0.91809
2119.5239	0.9182
2117.4701	0.91776
2115.4163	0.91699
2113.36249	0.91683
2111.30869	0.91755
2109.25489	0.91806
2107.20109	0.91787
2105.14728	0.91781
2103.09348	0.91799
2101.03968	0.91809
2098.98588	0.91841
2096.93208	0.91913
2094.87827	0.92
2092.82447	0.92056
2090.77067	0.92046
2088.71687	0.91989
2086.66306	0.91971
2084.60926	0.91993
2082.55546	0.91997
2080.50166	0.92005
2078.44786	0.92042
2076.39405	0.92073
2074.34025	0.92103
2072.28645	0.92137
2070.23265	0.9219
2068.17884	0.92294
2066.12504	0.92349
2064.07124	0.92327
2062.01744	0.92333
2059.96364	0.92399
2057.90983	0.9249
2055.85603	0.92566
2053.80223	0.92592
2051.74843	0.92638
2049.69462	0.92801
2047.64082	0.92964
2045.58702	0.93051
2043.53322	0.93115
2041.47942	0.93178
2039.42561	0.93343
2037.37181	0.9355
2035.31801	0.93617
2033.26421	0.93583
2031.2104	0.93564
2029.1566	0.93557
2027.1028	0.93594
2025.049	0.93683
2022.9952	0.93727
2020.94139	0.93836
2018.88759	0.93988
2016.83379	0.94045
2014.77999	0.94036
2012.72618	0.94055
2010.67238	0.94173
2008.61858	0.94235
2006.56478	0.94239
2004.51098	0.94264
2002.45717	0.94169
2000.40337	0.94085
1998.34957	0.94203
1996.29577	0.94326
1994.24196	0.94364
1992.18816	0.94381
1990.13436	0.94311
1988.08056	0.94237
1986.02676	0.94195
1983.97295	0.94083
1981.91915	0.93949
1979.86535	0.93933
1977.81155	0.94008
1975.75774	0.93951
1973.70394	0.93744
1971.65014	0.93636
1969.59634	0.93634
1967.54254	0.93575
1965.48873	0.93463
1963.43493	0.9336
1961.38113	0.93343
