Numero de onda	Teraftalato de polietileno.dpt
2731.55696	0.99411
2729.50316	0.99404
2727.44936	0.99435
2725.39556	0.99473
2723.34176	0.9948
2721.28795	0.99465
2719.23415	0.99467
2717.18035	0.99479
2715.12655	0.99486
2713.07274	0.99491
2711.01894	0.99483
2708.96514	0.99467
2706.91134	0.99446
2704.85754	0.99424
2702.80373	0.99425
2700.74993	0.99434
2698.69613	0.99442
2696.64233	0.99446
2694.58852	0.99439
2692.53472	0.99442
2690.48092	0.99444
2688.42712	0.9944
2686.37332	0.99465
2684.31951	0.99517
2682.26571	0.99557
2680.21191	0.99567
2678.15811	0.99532
2676.1043	0.99474
2674.0505	0.99452
2671.9967	0.99462
2669.9429	0.99464
2667.8891	0.99471
2665.83529	0.99481
2663.78149	0.99471
2661.72769	0.99465
2659.67389	0.99471
2657.62008	0.99449
2655.56628	0.99408
2653.51248	0.9939
2651.45868	0.99391
2649.40488	0.99405
2647.35107	0.99405
2645.29727	0.99383
2643.24347	0.99396
2641.18967	0.9942
2639.13586	0.99419
2637.08206	0.99424
2635.02826	0.99439
2632.97446	0.99432
2630.92066	0.99405
2628.86685	0.99391
2626.81305	0.99406
2624.75925	0.99459
2622.70545	0.99505
2620.65164	0.99506
2618.59784	0.99494
2616.54404	0.99452
2614.49024	0.99401
2612.43644	0.99393
2610.38263	0.99402
2608.32883	0.99431
2606.27503	0.99477
2604.22123	0.99467
2602.16742	0.99407
2600.11362	0.9941
2598.05982	0.99466
2596.00602	0.99483
2593.95222	0.99484
2591.89841	0.99501
2589.84461	0.99493
2587.79081	0.99448
2585.73701	0.99431
2583.6832	0.99474
2581.6294	0.99515
2579.5756	0.99517
2577.5218	0.99495
2575.468	0.99465
2573.41419	0.99419
2571.36039	0.99381
2569.30659	0.99419
2567.25279	0.99523
2565.19898	0.99597
2563.14518	0.99582
2561.09138	0.9951
2559.03758	0.99488
2556.98377	0.99528
2554.92997	0.99521
2552.87617	0.99466
2550.82237	0.99432
2548.76857	0.99468
2546.71476	0.99548
2544.66096	0.99605
2542.60716	0.99634
2540.55336	0.9962
2538.49955	0.99563
2536.44575	0.99552
2534.39195	0.99592
2532.33815	0.99595
2530.28435	0.996
2528.23054	0.99632
2526.17674	0.99623
2524.12294	0.99609
2522.06914	0.99634
2520.01533	0.99643
2517.96153	0.99636
